ticker,color,call_bid,call_ask,call_mid,call_volume,call_openInterest,call_strike,call_expiration,call_underlyingPrice,call_last,call_credits_used,call_credits_remaining,call_error,call_premium_per_contract,call_spread_dollars,call_spread_pct,call_pass_premium,call_pass_spread,call_pass_liquidity,call_overall_pass,call_fail_reasons,put_bid,put_ask,put_mid,put_volume,put_openInterest,put_strike,put_expiration,put_underlyingPrice,put_last,put_credits_used,put_credits_remaining,put_error,put_premium_per_contract,put_spread_dollars,put_spread_pct,put_pass_premium,put_pass_spread,put_pass_liquidity,put_overall_pass,put_fail_reasons
SOFI,GREEN,0.47,0.48,0.475,2599,1736,17.5,2026-09-18,17.345,0.48,,,,47.5,0.010000000000000009,0.02105263157894739,True,True,True,True,[],0.6,0.61,0.605,6462,4866,17.5,2026-09-18,17.345,0.6,,,,60.5,0.010000000000000009,0.016528925619834725,True,True,True,True,[]
MARA,YELLOW,0.57,0.64,0.605,3108,28385,12,2026-09-18,11.9,0.63,,,,60.5,0.07000000000000006,0.11570247933884308,True,False,True,False,"['spread $0.070 > $0.05', 'spread_pct 11.6% > 7%']",0.7,0.72,0.71,215,28592,12,2026-09-18,11.9,0.71,,,,71.0,0.020000000000000018,0.028169014084507067,True,True,True,True,[]
CCL,YELLOW,0.44,0.47,0.455,640,700,23,2026-09-18,22.72,0.45,,,,45.5,0.02999999999999997,0.06593406593406587,True,True,True,True,[],0.57,0.7,0.635,312,12398,23,2026-09-18,22.72,0.66,,,,63.5,0.13,0.2047244094488189,True,False,True,False,"['spread $0.130 > $0.05', 'spread_pct 20.5% > 7%']"
SLV,RED,1.77,1.86,1.815,354,1787,60.5,2026-09-18,60.71,1.83,,,,181.5,0.09000000000000008,0.049586776859504175,False,False,True,False,"['premium too high ($181.50)', 'spread $0.090 > $0.05']",1.53,1.59,1.56,241,6147,60.5,2026-09-18,60.71,1.56,,,,156.0,0.06000000000000005,0.03846153846153849,False,False,True,False,"['premium too high ($156.00)', 'spread $0.060 > $0.05']"
BAC,RED,1.05,1.13,1.09,1186,11696,62.5,2026-09-18,62.7,1.1,,,,109.00000000000001,0.07999999999999985,0.07339449541284389,False,False,True,False,"['premium too high ($109.00)', 'spread $0.080 > $0.05', 'spread_pct 7.3% > 7%']",0.78,0.83,0.805,887,12219,62.5,2026-09-18,62.7,0.81,,,,80.5,0.04999999999999993,0.06211180124223594,False,True,True,False,['premium too high ($80.50)']
TQQQ,RED,2.48,2.72,2.6,74,69,71.5,2026-09-18,71.49,2.68,,,,260.0,0.2400000000000002,0.09230769230769238,False,False,False,False,"['premium too high ($260.00)', 'spread $0.240 > $0.05', 'spread_pct 9.2% > 7%', 'low liquidity (OI=69, Vol=74)']",2.51,2.64,2.575,55,116,71.5,2026-09-18,71.49,2.64,,,,257.5,0.13000000000000034,0.05048543689320401,False,False,False,False,"['premium too high ($257.50)', 'spread $0.130 > $0.05', 'low liquidity (OI=116, Vol=55)']"
SQQQ,RED,1.44,1.52,1.48,373,1297,38.5,2026-09-18,38.64,1.47,,,,148.0,0.08000000000000007,0.054054054054054106,False,False,True,False,"['premium too high ($148.00)', 'spread $0.080 > $0.05']",1.21,1.33,1.27,38,177,38.5,2026-09-18,38.64,1.3,,,,127.0,0.1200000000000001,0.09448818897637803,False,False,False,False,"['premium too high ($127.00)', 'spread $0.120 > $0.05', 'spread_pct 9.4% > 7%', 'low liquidity (OI=177, Vol=38)']"
GDX,RED,3.2,3.45,3.325,194,625,99,2026-09-18,99.43,3.36,,,,332.5,0.25,0.07518796992481203,False,False,False,False,"['premium too high ($332.50)', 'spread $0.250 > $0.05', 'spread_pct 7.5% > 7%', 'low liquidity (OI=625, Vol=194)']",2.55,2.8,2.675,85,6266,99,2026-09-18,99.43,2.57,,,,267.5,0.25,0.09345794392523366,False,False,True,False,"['premium too high ($267.50)', 'spread $0.250 > $0.05', 'spread_pct 9.3% > 7%']"
XLE,RED,1.24,1.36,1.3,3118,47742,65,2026-09-18,65.34,1.27,,,,130.0,0.1200000000000001,0.09230769230769238,False,False,True,False,"['premium too high ($130.00)', 'spread $0.120 > $0.05', 'spread_pct 9.2% > 7%']",0.84,0.95,0.895,1806,9598,65,2026-09-18,65.34,0.88,,,,89.5,0.10999999999999999,0.12290502793296088,False,False,True,False,"['premium too high ($89.50)', 'spread $0.110 > $0.05', 'spread_pct 12.3% > 7%']"
OXY,RED,1.29,1.36,1.325,306,1474,61,2026-09-18,61.31,1.39,,,,132.5,0.07000000000000006,0.052830188679245334,False,False,True,False,"['premium too high ($132.50)', 'spread $0.070 > $0.05']",1.12,1.32,1.22,206,351,61,2026-09-18,61.31,1.13,,,,122.0,0.19999999999999996,0.16393442622950816,False,False,False,False,"['premium too high ($122.00)', 'spread $0.200 > $0.05', 'spread_pct 16.4% > 7%', 'low liquidity (OI=351, Vol=206)']"
